Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,0.0,0.0
2017.0,10.0,23.0,9.8,7.800000000000001
2017.0,10.0,24.0,0.0,0.0
2017.0,10.0,25.0,0.0,0.0
2017.0,10.0,26.0,5.6,3.5999999999999996
2017.0,10.0,27.0,38.5,37.5
2017.0,10.0,28.0,15.4,14.4
2017.0,10.0,29.0,3.3,2.3
2017.0,10.0,30.0,0.0,0.0
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,0.0,0.0
2017.0,11.0,3.0,0.0,0.0
2017.0,11.0,4.0,1.5,0.29850266682988635
2017.0,11.0,5.0,1.6,0.31840284461854546
2017.0,11.0,6.0,0.0,0.0
2017.0,11.0,7.0,2.8,0.7999999999999997
2017.0,11.0,8.0,7.8,6.8
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.0,0.0
2017.0,11.0,14.0,4.4,2.4000000000000004
2017.0,11.0,15.0,2.2,1.2000000000000002
2017.0,11.0,16.0,0.0,0.0
2017.0,11.0,17.0,0.0,0.0
2017.0,11.0,18.0,1.6,0.31840284461854546
2017.0,11.0,19.0,0.0,0.0
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,2.5,0.5000000000000001
2017.0,11.0,30.0,1.5,0.4999999999999999
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,0.0,0.0
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,0.0,0.0
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,0.0,0.0
2017.0,12.0,19.0,2.1,0.3973621511872884
2017.0,12.0,20.0,0.0,0.0
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,0.0,0.0
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,0.0,0.0
2017.0,12.0,26.0,4.4,2.4000000000000004
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,4.0,2.0
2018.0,1.0,2.0,9.7,8.7
2018.0,1.0,3.0,9.1,8.1
2018.0,1.0,4.0,36.3,35.3
2018.0,1.0,5.0,11.0,10.0
2018.0,1.0,6.0,4.0,3.0
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,0.0,0.0
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,0.0,0.0
2018.0,1.0,18.0,5.7,3.7
2018.0,1.0,19.0,1.5,0.5000000000000001
2018.0,1.0,20.0,0.0,0.0
2018.0,1.0,21.0,0.0,0.0
2018.0,1.0,22.0,5.3,3.3
2018.0,1.0,23.0,15.2,14.2
2018.0,1.0,24.0,0.0,0.0
2018.0,1.0,25.0,0.0,0.0
2018.0,1.0,26.0,0.0,0.0
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,34.0,32.0
2018.0,2.0,2.0,8.7,7.699999999999999
2018.0,2.0,3.0,3.1,2.1
2018.0,2.0,4.0,0.0,0.0
2018.0,2.0,5.0,0.0,0.0
2018.0,2.0,6.0,3.2,1.2000000000000002
2018.0,2.0,7.0,1.4,0.3999999999999998
2018.0,2.0,8.0,5.2,4.2
2018.0,2.0,9.0,9.2,8.2
2018.0,2.0,10.0,10.8,9.8
2018.0,2.0,11.0,33.2,32.2
2018.0,2.0,12.0,32.6,31.6
2018.0,2.0,13.0,8.4,7.4
2018.0,2.0,14.0,5.1,4.1
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,1.6,0.20063981178142587
2018.0,2.0,20.0,2.1,0.49936018821857436
2018.0,2.0,21.0,2.3,1.3
2018.0,2.0,22.0,0.0,0.0
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,0.0,0.0
2018.0,2.0,27.0,0.0,0.0
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,0.0,0.0
2018.0,3.0,7.0,11.6,9.600000000000001
2018.0,3.0,8.0,0.0,0.0
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,28.3,26.3
2018.0,3.0,13.0,2.4,1.4
2018.0,3.0,14.0,0.0,0.0
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,0.0,0.0
2018.0,3.0,22.0,0.0,0.0
2018.0,3.0,23.0,0.0,0.0
2018.0,3.0,24.0,1.6,0.17989932463307634
2018.0,3.0,25.0,0.0,0.0
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,3.3,1.2999999999999998
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,1.3,0.14616820126437452
2018.0,3.0,30.0,0.0,0.0
2018.0,3.0,31.0,0.0,0.0
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,0.0,0.0
2018.0,4.0,4.0,0.0,0.0
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,0.0,0.0
2018.0,4.0,10.0,2.3,0.29999999999999966
2018.0,4.0,11.0,0.0,0.0
2018.0,4.0,12.0,0.0,0.0
2018.0,4.0,13.0,9.0,7.0
2018.0,4.0,14.0,4.7,3.9000000000000004
2018.0,4.0,15.0,6.2,5.2
2018.0,4.0,16.0,1.3,0.30000000000000016
2018.0,4.0,17.0,7.0,6.0
2018.0,4.0,18.0,0.0,0.0
2018.0,4.0,19.0,0.0,0.0
2018.0,4.0,20.0,0.0,0.0
2018.0,4.0,21.0,0.0,0.0
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,17.6,15.600000000000001
2018.0,4.0,29.0,19.4,18.7
2018.0,4.0,30.0,1.1,0.13545965080249897
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,0.0,0.0
2018.0,5.0,6.0,0.0,0.0
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,0.0,0.0
2018.0,5.0,10.0,0.0,0.0
2018.0,5.0,11.0,0.0,0.0
2018.0,5.0,12.0,17.7,16.4
2018.0,5.0,13.0,10.7,9.7
2018.0,5.0,14.0,0.0,0.0
2018.0,5.0,15.0,0.0,0.0
2018.0,5.0,16.0,0.0,0.0
2018.0,5.0,17.0,1.1,0.15268783241702655
2018.0,5.0,18.0,0.0,0.0
