Id,WofBest,RmseBest,Efficiency,Global_WaterBalance,Global_WaterBalance_NormPr,ΔT_Average,∑∑ΔSink,∑ΔQ_Bot,SwcRoots,iNonConverge,ΔRunTimeHypix
1.0,0.013948179950816736,0.013948179950816736,277.0,0.37163843687881126,0.08109427538514344,3585.0,284.47891221693436,148.633540733873,324.296535657014,0.0,7660.655
2.0,0.012444764299993213,0.012444764299993213,269.0,0.41723660976856536,0.09105231204337098,3581.0,303.2337338136703,129.2352776296915,333.66220361606133,0.0,12062.193
3.0,0.012444764299993213,0.012444764299993213,269.0,0.41723660976856536,0.09105231204337098,3581.0,303.2337338136703,129.2352776296915,333.66220361606133,0.0,15419.131
4.0,0.01222029059227344,0.01222029059227344,263.0,0.4462067966205723,0.09737479203818043,3579.0,308.83075560055835,123.26416923641312,333.20821171453883,1.0,18376.146
5.0,0.011452393481564925,0.011452393481564925,256.0,0.4905620773898818,0.1070522631038613,3581.0,306.60669134107167,126.54950688467895,322.3858123625448,5.0,21306.719
6.0,0.011452393481564925,0.011452393481564925,256.0,0.4905620773898818,0.1070522631038613,3581.0,306.60669134107167,126.54950688467895,322.3858123625448,5.0,24233.72
7.0,0.011452393481564925,0.011452393481564925,256.0,0.4905620773898818,0.1070522631038613,3581.0,306.60669134107167,126.54950688467895,322.3858123625448,5.0,27132.876
8.0,0.010539159212700669,0.010539159212700669,253.0,0.49966138379153335,0.10903284064701778,3584.0,309.7025159264127,126.40412054215753,321.9946686273716,2.0,29988.944
9.0,0.010539159212700669,0.010539159212700669,253.0,0.49966138379153335,0.10903284064701778,3584.0,309.7025159264127,126.40412054215753,321.9946686273716,2.0,32731.291
10.0,0.01047063747820809,0.01047063747820809,252.0,0.498588126848972,0.1117812047952729,3584.0,295.7608785581612,128.76697952631312,322.23917973851155,2.0,34998.437
