,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,σMac,1,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,2,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,3,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,4,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,σMac,5,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0,0,0.7675,0.7675,0,0
Vector,hydro,ΨmMac,1,1,390,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,2,1,390,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,3,1,390,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,4,1,390,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,ΨmMac,5,1,390,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Vector,hydro,So,1,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,2,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,3,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,4,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vector,hydro,So,5,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
