Month,Sign_Deficit_Obs,Sign_Max_Obs,Sign_Saturated_Obs,Sign_Senescence_Obs,Sign_Deficit_Sim,Sign_Max_Sim,Sign_Saturated_Sim,Sign_Senescence_Sim
1.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
2.0,0.03279913069937966,0.0029151550149060573,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
3.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
4.0,0.02991698551948803,0.0006043092745571935,0.0028120385392881165,0.0,0.0,0.03333333333333333,0.0,0.0
5.0,0.021423919874770908,0.029444904781971124,0.004686730898813528,0.0,0.0,0.05555555555555555,0.0,0.0
6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
12.0,0.01777014129269258,0.0,0.0,0.014487923223436457,0.03225806451612903,0.0,0.0,0.0
