Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,4.0,3.13294075243503
2017.0,10.0,23.0,7.1,5.560969835572178
2017.0,10.0,24.0,0.0,0.0
2017.0,10.0,25.0,2.5,1.9580879702718936
2017.0,10.0,26.0,5.3,4.1511464969764145
2017.0,10.0,27.0,2.4,1.879764451461018
2017.0,10.0,28.0,11.0,9.0
2017.0,10.0,29.0,0.0,0.0
2017.0,10.0,30.0,0.0,0.0
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,1.1,0.8029747061367137
2017.0,11.0,3.0,24.7,22.7
2017.0,11.0,4.0,8.7,7.699999999999999
2017.0,11.0,5.0,0.0,0.0
2017.0,11.0,6.0,0.0,0.0
2017.0,11.0,7.0,16.8,14.8
2017.0,11.0,8.0,0.0,0.0
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.0,0.0
2017.0,11.0,14.0,1.5,1.094965508368246
2017.0,11.0,15.0,2.3,1.6789471128313103
2017.0,11.0,16.0,2.1,1.5329517117155442
2017.0,11.0,17.0,0.0,0.0
2017.0,11.0,18.0,0.0,0.0
2017.0,11.0,19.0,0.0,0.0
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,19.8,17.8
2017.0,11.0,30.0,2.0,1.4599540111576612
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,3.4,2.4121667169970644
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,0.0,0.0
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,4.1,2.9087892763788123
2017.0,12.0,19.0,2.8,1.986490237526994
2017.0,12.0,20.0,0.0,0.0
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,2.8,1.986490237526994
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,2.8,1.986490237526994
2017.0,12.0,26.0,0.0,0.0
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,3.5,2.1928812973085248
2018.0,1.0,2.0,10.5,8.807118702691476
2018.0,1.0,3.0,2.3,1.4410362810884592
2018.0,1.0,4.0,34.8,33.65896371891154
2018.0,1.0,5.0,23.0,22.0
2018.0,1.0,6.0,4.3,3.3
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,6.0,4.0
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,3.0,1.879612540550164
2018.0,1.0,18.0,15.4,13.520387459449836
2018.0,1.0,19.0,0.0,0.0
2018.0,1.0,20.0,0.0,0.0
2018.0,1.0,21.0,7.1,5.1
2018.0,1.0,22.0,2.6,1.6289975351434756
2018.0,1.0,23.0,3.3,2.2710024648565246
2018.0,1.0,24.0,0.0,0.0
2018.0,1.0,25.0,0.0,0.0
2018.0,1.0,26.0,3.0,1.879612540550164
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,33.1,31.1
2018.0,2.0,2.0,1.7,0.8839098192027789
2018.0,2.0,3.0,0.0,0.0
2018.0,2.0,4.0,0.0,0.0
2018.0,2.0,5.0,1.1,0.5719416477194452
2018.0,2.0,6.0,0.0,0.0
2018.0,2.0,7.0,0.0,0.0
2018.0,2.0,8.0,5.7,3.7
2018.0,2.0,9.0,12.7,11.7
2018.0,2.0,10.0,27.0,26.1
2018.0,2.0,11.0,31.8,30.8
2018.0,2.0,12.0,9.9,8.9
2018.0,2.0,13.0,9.1,8.1
2018.0,2.0,14.0,18.9,17.9
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,10.5,8.5
2018.0,2.0,20.0,8.5,7.5
2018.0,2.0,21.0,1.8,0.9359045144500012
2018.0,2.0,22.0,5.9,4.7640954855499995
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,6.6,4.6
2018.0,2.0,27.0,1.1,0.5719416477194452
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,2.5,1.1813787135656408
2018.0,3.0,7.0,16.0,14.31862128643436
2018.0,3.0,8.0,9.9,8.9
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,6.8,4.8
2018.0,3.0,13.0,1.8,0.8505926737672614
2018.0,3.0,14.0,0.0,0.0
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,0.0,0.0
2018.0,3.0,22.0,1.1,0.519806633968882
2018.0,3.0,23.0,1.1,0.519806633968882
2018.0,3.0,24.0,19.1,17.1
2018.0,3.0,25.0,0.0,0.0
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,6.7,4.7
2018.0,3.0,30.0,0.0,0.0
2018.0,3.0,31.0,2.5,1.1813787135656408
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,1.2,0.6178781457217263
2018.0,4.0,4.0,1.4,0.7208578366753473
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,1.6,0.8238375276289684
2018.0,4.0,10.0,18.7,16.7
2018.0,4.0,11.0,0.0,0.0
2018.0,4.0,12.0,7.1,5.1
2018.0,4.0,13.0,5.8,4.8
2018.0,4.0,14.0,0.0,0.0
2018.0,4.0,15.0,13.1,11.1
2018.0,4.0,16.0,7.1,6.1
2018.0,4.0,17.0,5.6,4.6
2018.0,4.0,18.0,0.0,0.0
2018.0,4.0,19.0,0.0,0.0
2018.0,4.0,20.0,0.0,0.0
2018.0,4.0,21.0,1.1,0.5663883002449158
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,52.0,50.1
2018.0,4.0,29.0,4.2,3.2
2018.0,4.0,30.0,3.3,2.3
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,1.7,0.964972000547882
2018.0,5.0,6.0,2.8,1.5893656479612173
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,0.0,0.0
2018.0,5.0,10.0,0.0,0.0
2018.0,5.0,11.0,21.6,20.1
2018.0,5.0,12.0,27.3,27.1
2018.0,5.0,13.0,0.0,0.0
2018.0,5.0,14.0,0.0,0.0
2018.0,5.0,15.0,7.3,5.5
2018.0,5.0,16.0,11.5,10.5
2018.0,5.0,17.0,1.1,0.6243936474133355
2018.0,5.0,18.0,0.0,0.0
