Year,Month,Day,Pr,Pr_Ground
2017.0,10.0,17.0,0.0,0.0
2017.0,10.0,18.0,0.0,0.0
2017.0,10.0,19.0,0.0,0.0
2017.0,10.0,20.0,0.0,0.0
2017.0,10.0,21.0,0.0,0.0
2017.0,10.0,22.0,4.0,3.6876733359953873
2017.0,10.0,23.0,7.1,6.545620171391812
2017.0,10.0,24.0,0.0,0.0
2017.0,10.0,25.0,2.5,2.304795834997117
2017.0,10.0,26.0,5.3,4.886167170193888
2017.0,10.0,27.0,2.4,2.2126040015972324
2017.0,10.0,28.0,11.0,10.141101673987315
2017.0,10.0,29.0,0.0,0.0
2017.0,10.0,30.0,0.0,0.0
2017.0,10.0,31.0,0.0,0.0
2017.0,11.0,1.0,0.0,0.0
2017.0,11.0,2.0,1.1,0.9561723858077057
2017.0,11.0,3.0,24.7,22.7
2017.0,11.0,4.0,8.7,7.699999999999999
2017.0,11.0,5.0,0.0,0.0
2017.0,11.0,6.0,0.0,0.0
2017.0,11.0,7.0,16.8,14.8
2017.0,11.0,8.0,0.0,0.0
2017.0,11.0,9.0,0.0,0.0
2017.0,11.0,10.0,0.0,0.0
2017.0,11.0,11.0,0.0,0.0
2017.0,11.0,12.0,0.0,0.0
2017.0,11.0,13.0,0.0,0.0
2017.0,11.0,14.0,1.5,1.303871435192326
2017.0,11.0,15.0,2.3,1.9992695339615663
2017.0,11.0,16.0,2.1,1.8254200092692563
2017.0,11.0,17.0,0.0,0.0
2017.0,11.0,18.0,0.0,0.0
2017.0,11.0,19.0,0.0,0.0
2017.0,11.0,20.0,0.0,0.0
2017.0,11.0,21.0,0.0,0.0
2017.0,11.0,22.0,0.0,0.0
2017.0,11.0,23.0,0.0,0.0
2017.0,11.0,24.0,0.0,0.0
2017.0,11.0,25.0,0.0,0.0
2017.0,11.0,26.0,0.0,0.0
2017.0,11.0,27.0,0.0,0.0
2017.0,11.0,28.0,0.0,0.0
2017.0,11.0,29.0,19.8,17.8
2017.0,11.0,30.0,2.0,1.7384952469231012
2017.0,12.0,1.0,0.0,0.0
2017.0,12.0,2.0,3.4,2.8720874153608444
2017.0,12.0,3.0,0.0,0.0
2017.0,12.0,4.0,0.0,0.0
2017.0,12.0,5.0,0.0,0.0
2017.0,12.0,6.0,0.0,0.0
2017.0,12.0,7.0,0.0,0.0
2017.0,12.0,8.0,0.0,0.0
2017.0,12.0,9.0,0.0,0.0
2017.0,12.0,10.0,0.0,0.0
2017.0,12.0,11.0,0.0,0.0
2017.0,12.0,12.0,0.0,0.0
2017.0,12.0,13.0,0.0,0.0
2017.0,12.0,14.0,0.0,0.0
2017.0,12.0,15.0,0.0,0.0
2017.0,12.0,16.0,0.0,0.0
2017.0,12.0,17.0,0.0,0.0
2017.0,12.0,18.0,4.1,3.463399530288077
2017.0,12.0,19.0,2.8,2.3652484597089307
2017.0,12.0,20.0,0.0,0.0
2017.0,12.0,21.0,0.0,0.0
2017.0,12.0,22.0,2.8,2.3652484597089307
2017.0,12.0,23.0,0.0,0.0
2017.0,12.0,24.0,0.0,0.0
2017.0,12.0,25.0,2.8,2.3652484597089307
2017.0,12.0,26.0,0.0,0.0
2017.0,12.0,27.0,0.0,0.0
2017.0,12.0,28.0,0.0,0.0
2017.0,12.0,29.0,0.0,0.0
2017.0,12.0,30.0,0.0,0.0
2017.0,12.0,31.0,0.0,0.0
2018.0,1.0,1.0,3.5,2.5204255452843753
2018.0,1.0,2.0,10.5,8.5
2018.0,1.0,3.0,2.3,1.656279644044018
2018.0,1.0,4.0,34.8,33.443720355955975
2018.0,1.0,5.0,23.0,22.0
2018.0,1.0,6.0,4.3,3.3
2018.0,1.0,7.0,0.0,0.0
2018.0,1.0,8.0,0.0,0.0
2018.0,1.0,9.0,0.0,0.0
2018.0,1.0,10.0,0.0,0.0
2018.0,1.0,11.0,0.0,0.0
2018.0,1.0,12.0,6.0,4.320729506201786
2018.0,1.0,13.0,0.0,0.0
2018.0,1.0,14.0,0.0,0.0
2018.0,1.0,15.0,0.0,0.0
2018.0,1.0,16.0,0.0,0.0
2018.0,1.0,17.0,3.0,2.160364753100893
2018.0,1.0,18.0,15.4,13.4
2018.0,1.0,19.0,0.0,0.0
2018.0,1.0,20.0,0.0,0.0
2018.0,1.0,21.0,7.1,5.112863249005447
2018.0,1.0,22.0,2.6,1.8723161193541074
2018.0,1.0,23.0,3.3,2.3764012284109826
2018.0,1.0,24.0,0.0,0.0
2018.0,1.0,25.0,0.0,0.0
2018.0,1.0,26.0,3.0,2.160364753100893
2018.0,1.0,27.0,0.0,0.0
2018.0,1.0,28.0,0.0,0.0
2018.0,1.0,29.0,0.0,0.0
2018.0,1.0,30.0,0.0,0.0
2018.0,1.0,31.0,0.0,0.0
2018.0,2.0,1.0,33.1,31.1
2018.0,2.0,2.0,1.7,0.8423607727123484
2018.0,2.0,3.0,0.0,0.0
2018.0,2.0,4.0,0.0,0.0
2018.0,2.0,5.0,1.1,0.5450569705785785
2018.0,2.0,6.0,0.0,0.0
2018.0,2.0,7.0,0.0,0.0
2018.0,2.0,8.0,5.7,3.7
2018.0,2.0,9.0,12.7,11.7
2018.0,2.0,10.0,27.0,26.1
2018.0,2.0,11.0,31.8,30.800000000000004
2018.0,2.0,12.0,9.9,8.9
2018.0,2.0,13.0,9.1,8.1
2018.0,2.0,14.0,18.9,17.9
2018.0,2.0,15.0,0.0,0.0
2018.0,2.0,16.0,0.0,0.0
2018.0,2.0,17.0,0.0,0.0
2018.0,2.0,18.0,0.0,0.0
2018.0,2.0,19.0,10.5,8.5
2018.0,2.0,20.0,8.5,7.5
2018.0,2.0,21.0,1.8,0.8919114064013102
2018.0,2.0,22.0,5.9,4.80808859359869
2018.0,2.0,23.0,0.0,0.0
2018.0,2.0,24.0,0.0,0.0
2018.0,2.0,25.0,0.0,0.0
2018.0,2.0,26.0,6.6,4.6
2018.0,2.0,27.0,1.1,0.5450569705785785
2018.0,2.0,28.0,0.0,0.0
2018.0,3.0,1.0,0.0,0.0
2018.0,3.0,2.0,0.0,0.0
2018.0,3.0,3.0,0.0,0.0
2018.0,3.0,4.0,0.0,0.0
2018.0,3.0,5.0,0.0,0.0
2018.0,3.0,6.0,2.5,0.9269117399577081
2018.0,3.0,7.0,16.0,14.573088260042292
2018.0,3.0,8.0,9.9,8.9
2018.0,3.0,9.0,0.0,0.0
2018.0,3.0,10.0,0.0,0.0
2018.0,3.0,11.0,0.0,0.0
2018.0,3.0,12.0,6.8,4.8
2018.0,3.0,13.0,1.8,0.7999999999999999
2018.0,3.0,14.0,0.0,0.0
2018.0,3.0,15.0,0.0,0.0
2018.0,3.0,16.0,0.0,0.0
2018.0,3.0,17.0,0.0,0.0
2018.0,3.0,18.0,0.0,0.0
2018.0,3.0,19.0,0.0,0.0
2018.0,3.0,20.0,0.0,0.0
2018.0,3.0,21.0,0.0,0.0
2018.0,3.0,22.0,1.1,0.4078411655813916
2018.0,3.0,23.0,1.1,0.4078411655813916
2018.0,3.0,24.0,19.1,17.1
2018.0,3.0,25.0,0.0,0.0
2018.0,3.0,26.0,0.0,0.0
2018.0,3.0,27.0,0.0,0.0
2018.0,3.0,28.0,0.0,0.0
2018.0,3.0,29.0,6.7,4.699999999999999
2018.0,3.0,30.0,0.0,0.0
2018.0,3.0,31.0,2.5,0.9269117399577081
2018.0,4.0,1.0,0.0,0.0
2018.0,4.0,2.0,0.0,0.0
2018.0,4.0,3.0,1.2,0.5795612830564689
2018.0,4.0,4.0,1.4,0.6761548302325471
2018.0,4.0,5.0,0.0,0.0
2018.0,4.0,6.0,0.0,0.0
2018.0,4.0,7.0,0.0,0.0
2018.0,4.0,8.0,0.0,0.0
2018.0,4.0,9.0,1.6,0.7727483774086252
2018.0,4.0,10.0,18.7,16.7
2018.0,4.0,11.0,0.0,0.0
2018.0,4.0,12.0,7.1,5.1
2018.0,4.0,13.0,5.8,4.8
2018.0,4.0,14.0,0.0,0.0
2018.0,4.0,15.0,13.1,11.1
2018.0,4.0,16.0,7.1,6.1
2018.0,4.0,17.0,5.6,4.6
2018.0,4.0,18.0,0.0,0.0
2018.0,4.0,19.0,0.0,0.0
2018.0,4.0,20.0,0.0,0.0
2018.0,4.0,21.0,1.1,0.5312645094684298
2018.0,4.0,22.0,0.0,0.0
2018.0,4.0,23.0,0.0,0.0
2018.0,4.0,24.0,0.0,0.0
2018.0,4.0,25.0,0.0,0.0
2018.0,4.0,26.0,0.0,0.0
2018.0,4.0,27.0,0.0,0.0
2018.0,4.0,28.0,52.0,50.1
2018.0,4.0,29.0,4.2,3.2
2018.0,4.0,30.0,3.3,2.3
2018.0,5.0,1.0,0.0,0.0
2018.0,5.0,2.0,0.0,0.0
2018.0,5.0,3.0,0.0,0.0
2018.0,5.0,4.0,0.0,0.0
2018.0,5.0,5.0,1.7,1.029057439789611
2018.0,5.0,6.0,2.8,1.6949181361240653
2018.0,5.0,7.0,0.0,0.0
2018.0,5.0,8.0,0.0,0.0
2018.0,5.0,9.0,0.0,0.0
2018.0,5.0,10.0,0.0,0.0
2018.0,5.0,11.0,21.6,20.1
2018.0,5.0,12.0,27.3,27.1
2018.0,5.0,13.0,0.0,0.0
2018.0,5.0,14.0,0.0,0.0
2018.0,5.0,15.0,7.3,5.5
2018.0,5.0,16.0,11.5,10.5
2018.0,5.0,17.0,1.1,0.6658606963344542
2018.0,5.0,18.0,0.0,0.0
